,name,d4name,d4group,metric,split,val,exp,sizeorder,paper,convention
58,DROP,,,f1,dev,24.0,GPT3 (13B),6,GPT3,
59,DROP,,,f1,dev,23.6,GPT3 (175B),7,GPT3,
60,BoolQ,boolq,,acc,dev,65.4,GPT3 (6.7B),5,GPT3,QA_multiple_choice
61,BoolQ,boolq,,acc,dev,66.2,GPT3 (13B),6,GPT3,QA_multiple_choice
62,BoolQ,boolq,,acc,dev,60.5,GPT3 (175B),7,GPT3,QA_multiple_choice
63,CB,cb,,acc,dev,28.6,GPT3 (6.7B),5,GPT3,NLI
64,CB,cb,,acc,dev,19.6,GPT3 (13B),6,GPT3,NLI
65,CB,cb,,acc,dev,46.4,GPT3 (175B),7,GPT3,NLI
66,CB,,,f1,dev,25.1,GPT3 (6.7B),5,GPT3,
67,CB,,,f1,dev,20.3,GPT3 (13B),6,GPT3,
68,CB,,,f1,dev,42.8,GPT3 (175B),7,GPT3,
69,Copa,copa,,acc,dev,80.0,GPT3 (6.7B),5,GPT3,QA_multiple_choice
70,Copa,copa,,acc,dev,84.0,GPT3 (13B),6,GPT3,QA_multiple_choice
71,Copa,copa,,acc,dev,91.0,GPT3 (175B),7,GPT3,QA_multiple_choice
72,RTE,rte,,acc,dev,55.2,GPT3 (6.7B),5,GPT3,NLI
73,RTE,rte,,acc,dev,62.8,GPT3 (13B),6,GPT3,NLI
74,RTE,rte,,acc,dev,63.5,GPT3 (175B),7,GPT3,NLI
75,WiC,wic,,acc,dev,0.0,GPT3 (6.7B),5,GPT3,word_sense_disambiguation
76,WiC,wic,,acc,dev,0.0,GPT3 (13B),6,GPT3,word_sense_disambiguation
77,WiC,wic,,acc,dev,0.0,GPT3 (175B),7,GPT3,word_sense_disambiguation
78,WSC,wsc.fixed,,acc,dev,60.6,GPT3 (6.7B),5,GPT3,coreference
79,WSC,wsc.fixed,,acc,dev,64.4,GPT3 (13B),6,GPT3,coreference
80,WSC,wsc.fixed,,acc,dev,65.4,GPT3 (175B),7,GPT3,coreference
81,MultiRC,multirc,,acc,dev,18.4,GPT3 (6.7B),5,GPT3,QA_multiple_choice
82,MultiRC,multirc,,acc,dev,24.2,GPT3 (13B),6,GPT3,QA_multiple_choice
83,MultiRC,multirc,,acc,dev,27.6,GPT3 (175B),7,GPT3,QA_multiple_choice
84,MultiRC,,,f1a,dev,64.5,GPT3 (6.7B),5,GPT3,
85,MultiRC,,,f1a,dev,71.4,GPT3 (13B),6,GPT3,
86,MultiRC,,,f1a,dev,72.9,GPT3 (175B),7,GPT3,
87,ReCoRD,record,,acc,dev,88.6,GPT3 (6.7B),5,GPT3,QA_extractive
88,ReCoRD,record,,acc,dev,89.0,GPT3 (13B),6,GPT3,QA_extractive
89,ReCoRD,record,,acc,dev,90.2,GPT3 (175B),7,GPT3,QA_extractive
90,ReCoRD,,,f1,dev,89.5,GPT3 (6.7B),5,GPT3,
91,ReCoRD,,,f1,dev,90.4,GPT3 (13B),6,GPT3,
92,ReCoRD,,,f1,dev,91.0,GPT3 (175B),7,GPT3,
93,SuperGLUE,,,average,dev,52.3,GPT3 (6.7B),5,GPT3,
94,SuperGLUE,,,average,dev,54.4,GPT3 (13B),6,GPT3,
95,SuperGLUE,,,average,dev,58.2,GPT3 (175B),7,GPT3,
96,ANLI R1,anli,r1,acc,test,32.3,GPT3 (6.7B),5,GPT3,NLI
97,ANLI R1,anli,r1,acc,test,33.2,GPT3 (13B),6,GPT3,NLI
98,ANLI R1,anli,r1,acc,test,34.6,GPT3 (175B),7,GPT3,NLI
99,ANLI R2,anli,r2,acc,test,33.5,GPT3 (6.7B),5,GPT3,NLI
100,ANLI R2,anli,r2,acc,test,33.5,GPT3 (13B),6,GPT3,NLI
101,ANLI R2,anli,r2,acc,test,35.4,GPT3 (175B),7,GPT3,NLI
102,ANLI R3,anli,r3,acc,test,34.8,GPT3 (6.7B),5,GPT3,NLI
103,ANLI R3,anli,r3,acc,test,34.4,GPT3 (13B),6,GPT3,NLI
104,ANLI R3,anli,r3,acc,test,34.5,GPT3 (175B),7,GPT3,NLI
